,Unnamed: 0,Area,Average_household_size,Average_number_of_vehicles_per_apartment,Average_number_of_vehicles_per_house_condo,Median_age_of_females,Median_age_of_males,Median_household_income,Median_rent,Neighborhood_Name,Percentage_of_family_households,Percentage_of_foreign_born_residents,Percentage_of_married_couple_families,Percentage_of_married_couple_families_with_children,Percentage_of_native_residents_born_outside_the_US,Percentage_of_never_married_females_Over_15,Percentage_of_never_married_males_Over_15,Percentage_of_people_born_in_another_state,Percentage_of_people_born_in_the_state,Percentage_of_people_that_do_not_speak_english,Percentage_of_single_mother_households,Percentage_of_units_with_a_mortgage,Population,Population_density,Population_of_males,Address,coords,lat,lon
57,113,0.027000000000000003,2.9,1.3,2.1,32.3,34.0,68529,1059,Avery Oaks,65.9,24.0,52.8,22.4,8.7,18.4,16.9,38.1,29.2,4.2,11.2,85.0,80,3014,38,"Avery Oaks,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
59,115,1.1520000000000001,2.8,1.6,2.2,43.5,34.5,76220,775,Avila,57.3,14.3,52.2,22.9,3.6,11.4,21.0,46.6,35.5,6.2,9.8,67.7,2683,2329,1293,"Avila,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
61,117,0.051,28.6,0.9,1.2,41.0,46.7,17213,844,Avon Springs,27.7,17.8,26.2,48.2,6.5,33.0,18.6,31.5,44.2,15.4,299.8,60.0,243,4762,109,"Avon Springs,Tampa,FL","(27.9938419, -82.4781934)",27.9938419,-82.4781934
62,118,0.057999999999999996,2.4,0.9,1.7,35.7,34.0,25419,648,Avondale,65.3,39.3,42.6,13.2,9.4,1.9,22.6,22.1,29.2,28.8,22.6,71.6,117,2013,60,"Avondale,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
63,120,0.046,2.9,0.8,1.7,38.8,40.9,42167,517,Ayala s Grove,60.7,22.8,37.2,20.9,8.2,16.9,16.5,32.3,36.7,14.1,13.9,52.0,228,4987,104,"Ayala s Grove,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
64,121,0.04,3.2,1.2,1.7,37.0,32.3,51219,1002,Ayers Heights,54.9,12.5,36.2,19.3,7.8,19.1,22.0,32.5,47.2,0.0,17.0,71.1,807,20007,428,"Ayers Heights,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
65,122,0.018000000000000002,2.5,1.9,1.9,40.1,38.7,53750,856,Azalea Gardens Estates,37.2,7.4,34.0,25.7,8.4,16.1,19.8,36.6,47.6,1.7,14.2,78.2,60,3266,26,"Azalea Gardens Estates,Tampa,FL","(28.044559, -82.457359)",28.044559,-82.457359
66,123,0.006,2.8,1.1,1.7,47.1,41.6,38068,849,Azalea Gardens,42.9,14.5,38.2,20.3,8.6,16.2,24.0,37.6,39.4,13.6,8.1,66.2,21,3250,11,"Azalea Gardens,Tampa,FL","(28.044559, -82.457359)",28.044559,-82.457359
68,126,0.012,2.2,1.3,1.8,54.0,40.5,85250,928,Azeele Park,39.6,11.1,28.4,16.0,1.8,12.4,30.5,43.7,43.4,0.0,6.1,57.4,63,5179,37,"Azeele Park,Tampa,FL","(27.9411109, -82.4861614)",27.9411109,-82.4861614
69,128,0.003,2.5,1.0,1.3,36.3,39.5,27250,511,Baker Place,36.0,6.6,14.5,16.8,2.7,19.1,29.3,22.1,68.6,0.0,20.6,66.2,9,2625,5,"Baker Place,Tampa,FL","(27.9772238, -82.4532539)",27.9772238,-82.4532539
71,131,0.006,2.3,0.5,2.0,56.6,45.7,14901,259,Ballard Park,19.8,17.1,24.9,44.7,8.8,8.9,23.9,27.8,46.3,19.0,68.5,53.7,22,3495,11,"Ballard Park,Tampa,FL","(27.9557197, -82.4528431)",27.9557197,-82.4528431
72,132,1.166,4.5,1.3,1.8,41.3,38.7,80819,1345,Ballast Point,49.7,11.9,45.6,31.3,6.9,7.6,11.4,47.1,34.0,0.8,8.2,71.1,2938,2519,1474,"Ballast Point,Tampa,FL","(27.88923225, -82.4811694884811)",27.88923225,-82.4811694884811
73,133,0.01,2.3,0.8,1.9,41.4,42.3,82750,1752,Ballast Pointe Heights,44.5,5.8,42.6,34.3,8.2,7.2,7.6,47.9,38.0,0.0,6.7,63.4,54,5248,26,"Ballast Pointe Heights,Tampa,FL","(27.8895853, -82.4849463)",27.8895853,-82.4849463
74,134,0.004,2.2,1.0,1.5,54.2,50.5,35333,701,Banner Oaks,36.6,16.8,31.6,32.5,5.2,6.2,20.8,35.3,42.6,0.0,17.3,39.5,8,2264,4,"Banner Oaks,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
75,135,0.013999999999999999,2.5,0.8,0.8,29.2,23.1,16516,655,Barbara Heights,51.4,14.5,9.0,12.1,3.9,38.0,21.9,33.7,47.9,0.0,35.3,46.8,118,8263,51,"Barbara Heights,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
76,136,0.004,1.8,1.2,1.5,33.4,32.5,66607,1539,Barbara Lane,32.2,7.7,25.9,32.3,2.1,22.1,24.3,45.4,44.7,0.0,21.1,52.5,4,990,2,"Barbara Lane,Tampa,FL","(27.9414074, -82.5299509)",27.9414074,-82.5299509
77,139,0.001,3.0,1.4,1.5,37.9,40.0,33571,694,Barnhart,52.3,10.7,35.4,18.9,2.8,15.7,26.8,19.4,67.0,0.0,10.8,41.3,5,4014,3,"Barnhart,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
78,140,0.03,2.0,1.3,1.7,49.0,53.8,133889,2121,Barr City,43.8,11.4,56.9,50.3,2.1,3.7,13.4,49.0,37.5,2.4,8.3,58.4,257,8644,138,"Barr City,Tampa,FL","(27.993625, -82.474795)",27.993625,-82.474795
79,143,0.009000000000000001,2.1,1.4,1.8,30.6,31.8,58281,958,Bay Bluff,36.4,11.4,38.3,50.5,2.1,16.4,18.8,49.0,37.5,0.0,2.5,88.6,6,673,2,"Bay Bluff,Tampa,FL","(28.1613421, -82.3727203)",28.1613421,-82.3727203
80,146,0.043,2.1,1.4,1.8,31.0,32.2,59064,971,Bay City,36.4,11.4,38.3,44.2,2.1,16.4,18.8,49.0,37.5,0.0,2.1,88.6,33,766,14,"Bay City,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
81,148,0.006999999999999999,3.5,1.2,2.6,46.4,39.5,50819,590,Bay Lake Estates,53.7,5.0,52.9,28.8,3.5,12.4,11.1,39.2,52.3,0.0,3.6,62.9,3,447,1,"Bay Lake Estates,Tampa,FL","(27.9152408, -82.4481708)",27.9152408,-82.4481708
82,149,0.012,2.5,1.2,1.9,50.5,45.1,72326,971,Bay Lake,46.9,14.2,60.2,42.3,1.7,10.9,14.5,40.9,43.3,0.0,1.3,63.3,7,587,3,"Bay Lake,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
83,152,1.743,2.4,1.6,1.8,41.6,35.8,58127,1319,Bay Port Colony,50.9,18.7,31.8,13.5,6.2,19.3,14.2,44.4,30.7,3.1,16.3,49.2,4622,2651,2047,"Bay Port Colony,Tampa,FL","(27.876932, -82.505927)",27.876932,-82.505927
84,154,0.071,0.2,6.3,2.0,3.1,2.4,6434,72,Bay View Estate,35.6,6.9,68.8,42.2,0.4,2.3,9.8,48.8,43.9,0.0,2.2,36.9,10,140,5,"Bay View Estate,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
85,158,0.013999999999999999,2.8,1.5,1.7,40.5,40.5,98824,1100,Baya Vista,56.4,18.5,51.0,24.3,5.5,16.5,9.5,46.2,29.8,0.0,11.8,64.8,8,565,4,"Baya Vista,Tampa,FL","(28.005597, -82.484117)",28.005597,-82.484117
86,159,0.019,29.0,1.3,1.9,56.3,46.3,41667,726,Bayamo,37.1,22.0,25.5,25.5,3.0,8.2,27.1,26.9,48.1,13.1,15.5,76.1,63,3242,30,"Bayamo,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
87,162,0.025,2.8,1.9,1.6,41.4,38.1,82662,1504,Bayhaven,69.3,18.5,36.4,7.7,5.5,9.0,25.2,46.2,29.8,3.0,21.8,70.2,71,2856,37,"Bayhaven,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
88,163,0.113,2.8,1.5,1.7,40.5,40.5,98824,1100,Bayhill Estates,56.4,18.5,51.0,22.6,5.5,16.5,9.5,46.2,29.8,1.7,11.0,64.8,68,601,35,"Bayhill Estates,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
90,167,0.077,2.1,1.6,1.4,43.9,33.0,55325,1234,Bayport West,46.4,18.7,27.4,4.3,6.2,24.0,11.4,44.4,30.7,6.0,36.1,54.2,153,1997,55,"Bayport West,Tampa,FL","(27.9670211, -82.5507116)",27.9670211,-82.5507116
92,170,0.015,2.5,1.7,2.0,51.3,44.6,146875,1641,Bayshore Court,49.8,11.4,64.3,35.2,2.1,10.1,16.0,49.0,37.5,3.5,5.6,76.9,119,8109,61,"Bayshore Court,Tampa,FL","(27.8963132, -82.4884265)",27.8963132,-82.4884265
93,171,0.017,2.3,1.6,1.9,40.2,37.8,99510,1595,Bayshore Crest,48.9,11.4,62.5,35.8,2.1,10.5,16.1,49.0,37.5,2.3,5.4,77.2,90,5148,46,"Bayshore Crest,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
94,173,0.057999999999999996,1.3,1.2,1.5,24.6,23.9,49058,1134,Bayshore Estates,32.2,7.7,25.9,29.7,2.1,22.1,24.3,45.4,44.7,0.0,19.4,52.5,20,343,10,"Bayshore Estates,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
95,177,0.003,2.3,0.8,1.9,41.4,42.3,82750,1752,Bayshore Landings Condo,44.5,5.8,42.6,36.0,8.2,7.2,7.6,47.9,38.0,0.0,7.0,63.4,15,5016,7,"Bayshore Landings Condo,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
96,179,0.002,2.3,0.8,1.9,41.4,42.3,82750,1752,Bayshore Palms,44.5,5.8,42.6,34.3,8.2,7.2,7.6,47.9,38.0,0.0,6.7,63.4,9,5591,4,"Bayshore Palms,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
98,186,0.01,2.7,1.9,1.6,43.0,33.6,52452,1514,Bayshore Reserve,69.5,18.5,36.2,7.5,5.5,8.8,25.5,46.2,29.8,3.6,22.5,70.3,29,2931,15,"Bayshore Reserve,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
99,189,0.973,7.7,1.5,1.8,44.5,41.3,100625,1747,Bayshore,46.4,11.0,54.7,34.4,2.1,9.4,16.6,48.5,38.5,2.3,8.7,71.5,4690,4823,2426,"Bayshore,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
100,190,0.003,2.1,1.4,1.8,30.6,31.8,58281,958,Bayshore Towers Condo,36.4,11.4,38.3,86.6,2.1,16.4,18.8,49.0,37.5,0.0,4.2,88.6,1,390,0,"Bayshore Towers Condo,Tampa,FL","(27.9053296, -82.4901872545373)",27.9053296,-82.4901872545373
102,193,0.025,27.0,1.6,2.0,55.8,51.9,108250,1125,Bayshore Villas Condo,48.8,11.4,46.0,15.6,2.1,8.5,16.1,49.0,37.5,0.0,24.6,68.5,37,1476,19,"Bayshore Villas Condo,Tampa,FL","(27.92498455, -82.4875717000044)",27.92498455,-82.4875717000044
103,195,0.005,1.9,1.2,1.7,34.0,37.5,61413,908,Bayshore West,43.0,6.1,36.0,38.2,3.3,22.6,6.3,53.9,36.7,0.0,15.6,75.3,30,6142,14,"Bayshore West,Tampa,FL","(27.8466575, -82.4716086)",27.8466575,-82.4716086
105,200,0.006,2.1,1.6,1.7,29.9,45.0,104818,1412,Bayside,27.1,8.3,26.5,19.8,3.0,28.7,26.3,58.5,30.1,0.0,21.2,89.7,23,3840,10,"Bayside,Tampa,FL","(27.9007764, -82.5242016)",27.9007764,-82.5242016
106,204,0.024,2.7,1.8,1.8,47.4,24.1,93125,1042,Bayview Homes,41.2,6.9,69.3,36.9,0.7,6.2,11.7,47.6,44.8,0.0,4.6,48.0,91,3790,50,"Bayview Homes,Tampa,FL","(27.905121, -82.513575)",27.905121,-82.513575
107,205,0.033,0.8,1.2,1.6,18.1,21.8,32642,563,Baywood,20.7,8.3,10.7,63.4,3.0,34.9,32.0,58.5,30.1,0.0,46.1,36.8,5,153,2,"Baywood,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
108,206,0.012,10.9,1.7,1.8,41.8,44.1,94129,910,Beach Park Annex,55.6,10.5,51.0,32.6,1.9,12.5,12.4,44.0,43.6,0.0,9.0,61.9,22,1912,9,"Beach Park Annex,Tampa,FL","(27.9403717, -82.4623731)",27.9403717,-82.4623731
109,207,0.043,2.4,1.2,2.7,33.1,38.5,133279,1539,Beach Park Isles,74.9,7.7,73.9,30.2,2.1,12.1,19.5,45.4,44.7,0.0,26.3,69.0,19,444,9,"Beach Park Isles,Tampa,FL","(27.9403717, -82.4623731)",27.9403717,-82.4623731
110,208,0.003,2.7,2.1,2.0,52.4,47.3,107019,1535,Beach Park Place,54.5,7.7,57.1,30.0,2.1,15.6,10.7,45.4,44.7,0.0,7.0,47.6,14,4563,5,"Beach Park Place,Tampa,FL","(27.996914, -82.472077)",27.996914,-82.472077
111,209,1.1079999999999999,4.9,1.5,1.9,41.6,44.1,126254,1275,Beach Park,45.2,9.0,52.8,29.8,2.0,16.3,12.8,44.8,44.2,1.0,7.2,58.4,3307,2985,1482,"Beach Park,Tampa,FL","(27.9543291, -82.5360298)",27.9543291,-82.5360298
112,211,0.011000000000000001,1.9,1.6,1.7,26.8,40.4,94049,1267,Beach Place,27.1,8.3,26.5,20.1,3.0,28.7,26.3,58.5,30.1,0.0,21.5,89.7,47,4194,21,"Beach Place,Tampa,FL","(27.9403717, -82.4623731)",27.9403717,-82.4623731
113,212,0.017,3.9,1.1,2.1,65.3,66.2,196383,1377,Beach Way,48.0,9.0,73.1,33.4,2.0,11.5,7.6,44.7,44.2,0.0,3.3,65.6,44,2649,20,"Beach Way,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
114,214,0.018000000000000002,1.0,1.4,2.2,18.9,20.0,22320,419,Beacon Hill,17.9,18.2,40.6,41.6,0.7,17.1,18.0,34.2,46.9,0.0,26.5,54.8,18,1008,9,"Beacon Hill,Tampa,FL","(28.077081, -82.473487)",28.077081,-82.473487
115,215,0.111,2.9,12.0,4.6,49.7,51.2,130809,1081,Beacon Meadows,66.7,17.3,77.9,27.0,8.3,18.0,15.7,35.8,38.7,16.1,5.2,52.6,211,1902,95,"Beacon Meadows,Tampa,FL","(28.05421145, -82.524985883467)",28.05421145,-82.524985883467
116,216,0.006,2.7,2.1,2.0,52.4,47.3,107019,1535,Bean s,54.5,7.7,57.1,29.0,2.1,15.6,10.7,45.4,44.7,0.0,6.7,47.6,29,5048,11,"Bean s,Tampa,FL","(27.9737258, -82.5363705)",27.9737258,-82.5363705
118,218,0.019,2.2,1.0,1.7,30.1,43.5,20362,725,Bearss Glen,54.6,14.8,10.2,17.5,11.2,54.0,5.6,39.3,34.7,0.0,45.3,71.9,37,1956,12,"Bearss Glen,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
